timestamp,action,symbol,side,amount,price,realized_pnl,reason,balance_after
2025-08-26T18:40:14.837358,close,TRX/USDT,buy,98.33572,0.3221,0.05687246,opposite_signal,168.54136633
2025-08-26T18:40:15.725651,open,TRX/USDT,sell,130.814472,0.3221,,open,126.36388956
2025-08-26T18:40:16.628802,close,TRX/USDT,sell,130.814472,0.3225,-0.09448729,opposite_signal,168.55155678
2025-08-26T18:40:17.478049,open,TRX/USDT,buy,130.660122,0.3225,,open,126.37152954
2025-08-26T18:40:18.510454,close,TRX/USDT,buy,32.665031,0.3243,0.04823318,partial_0.5R,136.9647991
2025-08-26T18:40:19.397831,close,TRX/USDT,buy,97.995091,0.3266,0.36997557,TP,168.96999582
2025-08-26T18:40:20.316296,open,TRX/USDT,sell,129.459084,0.3263,,open,126.68525421
2025-08-26T18:40:21.355602,close,TRX/USDT,sell,129.459084,0.3269,-0.11995679,opposite_signal,169.00542877
2025-08-26T18:40:22.283174,open,TRX/USDT,buy,129.248569,0.3269,,open,126.71182021
2025-08-26T18:40:23.306005,close,TRX/USDT,buy,129.248569,0.3258,-0.1843537,opposite_signal,168.82100399
2025-08-26T18:40:24.225245,open,TRX/USDT,sell,129.543435,0.3258,,open,126.57354761
2025-08-26T18:40:25.247630,close,TRX/USDT,sell,129.543435,0.3235,0.25589362,TP,168.48084883
2025-08-26T18:40:26.089098,open,TRX/USDT,buy,129.800346,0.3245,,open,126.31851635
2025-08-26T18:40:27.186585,close,TRX/USDT,buy,32.450086,0.3256,0.02514719,partial_0.5R,136.88426435
2025-08-26T18:40:28.145308,close,TRX/USDT,buy,24.337565,0.326,0.02859055,partial_1.0R,144.81831054
2025-08-26T18:40:29.057709,close,TRX/USDT,buy,73.012695,0.3265,0.12225976,TP,168.65695545
2025-08-26T18:40:30.069590,open,TRX/USDT,buy,128.942626,0.327,,open,126.45055251
2025-08-26T18:40:31.231597,close,TRX/USDT,buy,32.235656,0.3281,0.02490043,partial_0.5R,137.02707125
2025-08-26T18:40:32.138604,close,TRX/USDT,buy,96.70697,0.3292,0.18102578,TP,168.86300577
2025-08-26T18:40:32.967720,open,TRX/USDT,buy,127.771645,0.3304,,open,126.60503851
2025-08-26T18:40:34.014581,close,TRX/USDT,buy,127.771645,0.3299,-0.10606963,opposite_signal,168.7569042
2025-08-26T18:40:34.957339,open,TRX/USDT,sell,127.884893,0.3299,,open,126.52548877
2025-08-26T18:40:35.980414,close,TRX/USDT,sell,127.884893,0.3308,-0.15734318,opposite_signal,168.82981137
2025-08-26T18:40:37.073074,open,TRX/USDT,buy,127.592058,0.3308,,open,126.58015114
2025-08-26T18:40:38.164672,close,TRX/USDT,buy,127.592058,0.3318,0.08532081,opposite_signal,168.91519598
2025-08-26T18:40:39.047234,open,TRX/USDT,sell,127.271847,0.3318,,open,126.64416835
2025-08-26T18:40:40.190751,close,TRX/USDT,sell,127.271847,0.3325,-0.13136364,opposite_signal,168.96205747
2025-08-26T18:40:41.234375,open,TRX/USDT,buy,127.039141,0.3325,,open,126.67930258
2025-08-26T18:40:42.319904,close,TRX/USDT,buy,31.759785,0.3331,0.00848621,partial_0.5R,137.25848696
2025-08-26T18:40:43.415716,close,TRX/USDT,buy,95.279356,0.3325,-0.03168039,opposite_signal,168.93887283
2025-08-26T18:40:44.324724,open,TRX/USDT,sell,127.021709,0.3325,,open,126.66191987
2025-08-26T18:40:45.328022,close,TRX/USDT,sell,127.021709,0.3329,-0.09306881,opposite_signal,168.9474468
2025-08-26T18:40:46.223073,open,TRX/USDT,buy,126.875523,0.3329,,open,126.66834833
2025-08-26T18:40:47.291100,close,TRX/USDT,buy,31.718881,0.3337,0.0148032,partial_0.5R,137.25293892
2025-08-26T18:40:48.264967,close,TRX/USDT,buy,95.156642,0.3347,0.13951867,TP,169.101867
2025-08-26T18:40:49.287668,open,TRX/USDT,sell,126.573254,0.334,,open,126.78412469
2025-08-26T18:40:50.321571,close,TRX/USDT,sell,126.573254,0.3323,0.17300665,TP,168.844417
2025-08-26T18:40:51.409500,open,TRX/USDT,buy,126.494169,0.3337,,open,126.5911017
2025-08-26T18:40:52.332072,close,TRX/USDT,buy,126.494169,0.3327,-0.16864203,opposite_signal,168.67571172
2025-08-26T18:40:53.118315,open,TRX/USDT,sell,126.747604,0.3327,,open,126.46461494
2025-08-26T18:40:54.216504,close,TRX/USDT,sell,126.747604,0.3334,-0.13093661,opposite_signal,168.72226612
2025-08-26T18:40:55.190570,open,TRX/USDT,buy,126.516396,0.3334,,open,126.49951913
2025-08-26T18:40:56.147728,close,TRX/USDT,buy,126.516396,0.3329,-0.10540714,opposite_signal,168.61682735
2025-08-26T18:40:57.199569,open,TRX/USDT,sell,126.627236,0.3329,,open,126.42046628
2025-08-26T18:40:58.306983,close,TRX/USDT,sell,126.627236,0.3333,-0.09283043,opposite_signal,168.62532404
2025-08-26T18:40:59.251583,open,TRX/USDT,buy,126.481641,0.3333,,open,126.42683677
2025-08-26T18:41:00.128724,close,TRX/USDT,buy,126.481641,0.3302,-0.43405337,opposite_signal,168.19107462
2025-08-26T18:41:01.261898,open,TRX/USDT,sell,127.340305,0.3302,,open,126.10125814
2025-08-26T18:41:02.831667,close,TRX/USDT,sell,127.340305,0.3313,-0.18219214,opposite_signal,168.28910119
2025-08-26T18:41:03.650611,open,TRX/USDT,buy,126.991474,0.3313,,open,126.17475358
2025-08-26T18:41:04.732027,close,TRX/USDT,buy,31.747868,0.3324,0.02438712,partial_0.5R,136.7277449
2025-08-26T18:41:05.560576,close,TRX/USDT,buy,95.243606,0.3316,-0.00299541,opposite_signal,168.31052465
2025-08-26T18:41:06.929701,open,TRX/USDT,sell,126.892736,0.3316,,open,126.19081576
2025-08-26T18:41:08.137099,close,TRX/USDT,sell,126.892736,0.3321,-0.10555572,opposite_signal,168.33189339
2025-08-26T18:41:08.980031,open,TRX/USDT,buy,126.717776,0.3321,,open,126.206837
2025-08-26T18:41:09.874984,close,TRX/USDT,buy,31.679444,0.3336,0.03697466,partial_0.5R,136.77509952
2025-08-26T18:41:10.863675,close,TRX/USDT,buy,95.038332,0.3334,0.09192583,opposite_signal,168.46087941
2025-08-26T18:41:11.848205,open,TRX/USDT,sell,126.320395,0.3334,,open,126.3035445
2025-08-26T18:41:12.929102,close,TRX/USDT,sell,31.580099,0.3323,0.02422667,partial_0.5R,136.7976114
2025-08-26T18:41:13.820692,close,TRX/USDT,sell,23.685074,0.3318,0.03001846,partial_1.0R,144.65631895
2025-08-26T18:41:14.841218,close,TRX/USDT,sell,71.055222,0.3336,-0.03790796,opposite_signal,168.36034101
2025-08-26T18:41:15.736572,open,TRX/USDT,buy,126.16932,0.3336,,open,126.22816577
2025-08-26T18:41:16.812309,close,TRX/USDT,buy,126.16932,0.3357,0.22273301,TP,168.5832065
2025-08-26T18:41:17.723142,open,TRX/USDT,sell,125.733298,0.3352,,open,126.39525921
2025-08-26T18:41:18.769068,close,TRX/USDT,sell,125.733298,0.3355,-0.07988465,opposite_signal,168.57878068
2025-08-26T18:41:19.630319,open,TRX/USDT,buy,125.617571,0.3355,,open,126.39194092
2025-08-26T18:41:20.726299,close,TRX/USDT,buy,125.617571,0.3341,-0.21792136,opposite_signal,168.36077139
2025-08-26T18:41:21.540555,open,TRX/USDT,sell,125.980823,0.3341,,open,126.22848823
2025-08-26T18:41:22.713020,close,TRX/USDT,sell,125.980823,0.3348,-0.13032086,opposite_signal,168.40686777
